number,original_img1_entropy,original_img2_entropy,visual_img1_entropy,visual_img2_entropy,feature_img1_entropy,feature_img2_entropy
0,2.0661948748445096,2.0830050181209914,2.065854738723456,2.072965075519031,2.0817425807777523,2.0959806996889343
1,1.987953772537376,1.972838120006976,1.9506588947741657,1.9069666855414908,1.984005879695855,1.9375329655997047
10,1.949080585663219,1.9790332810767945,1.93967052156396,1.9728647704397686,1.9600059558753884,1.9736123365914655
11,1.7903505650767122,1.7519425366355212,1.7823792966960725,1.720176086623829,1.8552742908685322,1.7625598065687003
12,1.6099654753218755,1.7106230295455318,1.6947768210745515,1.7133034336882478,1.7703470040308114,1.7529769088413305
13,1.505787934321674,1.7349858984915232,1.494077007454018,1.6589520769191242,1.5802531440967833,1.678907414594108
14,1.4063693974830742,1.891271040495194,1.3230046530222836,1.564457229145595,1.3025894082339189,1.7286313295865188
15,1.8949195272447086,1.849644011942275,1.8696233831397024,1.8610156745466344,1.8812798497624188,1.8579148234981342
16,1.8383434948329338,1.8239677197764057,1.7800871036459496,1.814083798766195,1.790993397186322,1.7985252283637303
17,1.6649264689528729,1.8052216156640657,1.7165962014474787,1.7878426176196673,1.7130286855922783,1.7796803439878865
18,1.591712480205366,1.8790265253449603,1.3906687907355728,1.7345650063514348,1.5011785990800326,1.8117632222916102
19,1.0790774247613115,1.656946550014589,1.294774921442488,1.8954195476087607,1.3113319996646917,1.7184738455005628
2,1.6948712647116466,1.6477776995386144,1.6554560856638276,1.6916825265633997,1.7104891955234742,1.638698766534929
20,1.868741157744867,1.8968199204301872,1.9144554847748516,1.9002137893693172,1.902155505709058,1.9015851949906764
21,1.7514033637567095,1.7288148640334675,1.7556918242083985,1.702683051155105,1.7198576628594364,1.695697921177371
22,1.581078025635449,1.6268384334531631,1.6170626378438833,1.6751210876396374,1.626486426121438,1.6709776322163146
23,1.4114791301572782,1.6501613581035453,1.38688344258542,1.5293133855738628,1.3439646786054347,1.4276076536444569
24,1.2869339397126542,1.6187645722527926,1.3180952614074648,1.4886936332632834,1.2726299003564736,1.5088836644065662
25,2.016275976768361,1.969290531882635,1.9664428345685285,1.944750306581507,2.0104872104214513,1.9718915947382905
26,1.9531182097234074,1.7154221752513787,1.9345972925983101,1.6768422218459695,1.9167341930989166,1.6927468340349832
27,1.8038231413252708,1.6742272843151715,1.798326074349894,1.648183939989882,1.7491018092579493,1.684729641251745
28,1.6204622398679538,1.7664627023544037,1.5504743561262062,1.6185816048298178,1.7117154230215192,1.8114915469375061
29,0.8548062849474891,1.1906606756456952,1.5047882836761404,1.418483661940615,1.372136108047592,1.477799452979954
3,1.3751285892252247,1.529117592461835,1.345411784760381,1.4686798600289852,1.3218378739018277,1.4171727905088738
30,1.9908269672048378,2.0136376087855705,2.0207339210366544,2.021457099512962,2.0187682055866008,2.031140377587717
31,1.9176271461473156,1.8395932800648749,1.9349534309845482,1.8039915489149394,1.901143391051713,1.7824937800303977
32,1.7810268046825444,1.622225242138366,1.7722144539018103,1.6555116076904604,1.7276268805485768,1.6964316211342902
33,1.6804160208327505,1.7416693690077887,1.5841904449262256,1.6511321085525483,1.5953298940747027,1.6026833356209331
34,1.6726254461442596,1.468139939011166,0.943348392326045,1.1682824501725457,0.6615632381560244,0.9743147528663527
35,1.9973797228159114,1.9472125985007491,2.0176780997155084,1.955438737299651,2.017426166444296,1.9505728870581656
36,1.8977214409170398,1.7763222502290854,1.9569100441553344,1.7997691969192537,1.8954564496907846,1.7686929708219825
